zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.collecte_poids1,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-07-21,2021-07-13,0,14.3,1.3,10,2,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-02,2021-07-28,0,5,0,4,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-02,2021-07-28,0,13,1,10,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-08,2021-07-28,0,5,0,3,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-08,2021-07-28,0,14,1,10,2,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-21,2021-08-07,0,7.8,0.8,5,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-21,2021-08-07,0,9,0,7,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-21,2021-08-07,0,11,1,6,1,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-21,2021-08-07,0,17.5,1.5,12,2,true,plus petit,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-21,2021-08-08,0,6,0,5,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-21,2021-08-08,0,6,0,5,1,false,plus gros,
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Anja, Antsosa ,2021-08-21,2021-08-08,0,6,0,6,1,false,plus gros,
