village.nom;fiche.date_expedition;fiche_enqueteur.date;crabe.taille
Kaday;2021-08-11;2021-08-11;115
Kaday;2021-08-11;2021-08-11;116
Kaday;2021-08-11;2021-08-11;117
Kaday;2021-08-11;2021-08-11;118
Kaday;2021-08-11;2021-08-11;118
Kaday;2021-08-11;2021-08-11;118
Kaday;2021-08-11;2021-08-11;119
Kaday;2021-08-11;2021-08-11;119
Kaday;2021-08-11;2021-08-11;119
Kaday;2021-08-11;2021-08-11;120
Kaday;2021-08-11;2021-08-11;120
Kaday;2021-08-11;2021-08-11;120
Kaday;2021-08-11;2021-08-11;130
Kaday;2021-08-11;2021-08-11;140
Kaday;2021-08-11;2021-08-11;160
Kaday;2021-08-21;2021-08-16;79
Kaday;2021-08-21;2021-08-16;80
Kaday;2021-08-21;2021-08-16;80
Kaday;2021-08-21;2021-08-16;81
Kaday;2021-08-21;2021-08-16;83
Kaday;2021-08-21;2021-08-16;83
Kaday;2021-08-21;2021-08-16;90
Kaday;2021-08-21;2021-08-16;91
Kaday;2021-08-21;2021-08-16;95
Kaday;2021-08-21;2021-08-16;100
Kaday;2021-08-21;2021-08-16;100
Kaday;2021-08-21;2021-08-16;100
Kaday;2021-08-21;2021-08-16;100
Kaday;2021-08-21;2021-08-16;100
Kaday;2021-08-21;2021-08-16;101
Kaday;2021-08-21;2021-08-16;101
Kaday;2021-08-21;2021-08-16;102
Kaday;2021-08-21;2021-08-16;102
Kaday;2021-08-21;2021-08-16;103
Kaday;2021-08-21;2021-08-16;103
Kaday;2021-08-21;2021-08-16;104
Kaday;2021-08-21;2021-08-16;104
Kaday;2021-08-21;2021-08-16;104
Kaday;2021-08-21;2021-08-16;105
Kaday;2021-08-21;2021-08-16;105
Kaday;2021-08-21;2021-08-16;106
Kaday;2021-08-21;2021-08-16;106
Kaday;2021-08-21;2021-08-16;106
Kaday;2021-08-21;2021-08-16;107
Kaday;2021-08-21;2021-08-16;108
Kaday;2021-08-21;2021-08-16;108
Kaday;2021-08-21;2021-08-16;110
Kaday;2021-08-21;2021-08-16;110
Kaday;2021-08-21;2021-08-16;110
Kaday;2021-08-21;2021-08-16;111
Kaday;2021-08-21;2021-08-16;111
Kaday;2021-08-21;2021-08-16;112
Kaday;2021-08-21;2021-08-16;112
Kaday;2021-08-21;2021-08-16;112
Kaday;2021-08-21;2021-08-16;113
Kaday;2021-08-21;2021-08-16;113
Kaday;2021-08-21;2021-08-16;114
Kaday;2021-08-21;2021-08-16;115
Kaday;2021-08-21;2021-08-16;115
Kaday;2021-08-21;2021-08-16;115
Kaday;2021-08-21;2021-08-16;115
Kaday;2021-08-21;2021-08-16;116
Kaday;2021-08-21;2021-08-16;116
Kaday;2021-08-21;2021-08-16;116
Kaday;2021-08-21;2021-08-16;116
Kaday;2021-08-21;2021-08-16;117
Kaday;2021-08-21;2021-08-16;118
Kaday;2021-08-21;2021-08-16;118
Kaday;2021-08-21;2021-08-16;118
Kaday;2021-08-21;2021-08-16;119
Kaday;2021-08-21;2021-08-16;119
Kaday;2021-08-21;2021-08-16;120
Kaday;2021-08-21;2021-08-16;120
Kaday;2021-08-21;2021-08-16;120
Kaday;2021-08-21;2021-08-16;120
Kaday;2021-08-21;2021-08-16;130
Kaday;2021-08-21;2021-08-16;130
Kaday;2021-08-21;2021-08-16;139
Kaday;2021-08-21;2021-08-16;140
Kaday;2021-08-21;2021-08-16;140
Kaday;2021-08-21;2021-08-16;150
Kaday;2021-08-21;2021-08-16;150
Kaday;2021-08-21;2021-08-16;155
Kaday;2021-08-21;2021-08-16;160
Kaday;2021-08-21;2021-08-16;160
Kaday;2021-08-21;2021-08-16;160
Kaday;2021-08-21;2021-08-17;87
Kaday;2021-08-21;2021-08-17;89
Kaday;2021-08-21;2021-08-17;90
Kaday;2021-08-21;2021-08-17;90
Kaday;2021-08-21;2021-08-17;90
Kaday;2021-08-21;2021-08-17;91
Kaday;2021-08-21;2021-08-17;94
Kaday;2021-08-21;2021-08-17;97
Kaday;2021-08-21;2021-08-17;98
Kaday;2021-08-21;2021-08-17;99
Kaday;2021-08-21;2021-08-17;99
Kaday;2021-08-21;2021-08-17;99
Kaday;2021-08-21;2021-08-17;99
Kaday;2021-08-21;2021-08-17;100
Kaday;2021-08-21;2021-08-17;100
Kaday;2021-08-21;2021-08-17;100
Kaday;2021-08-21;2021-08-17;101
Kaday;2021-08-21;2021-08-17;101
Kaday;2021-08-21;2021-08-17;101
Kaday;2021-08-21;2021-08-17;102
Kaday;2021-08-21;2021-08-17;103
Kaday;2021-08-21;2021-08-17;103
Kaday;2021-08-21;2021-08-17;103
Kaday;2021-08-21;2021-08-17;104
Kaday;2021-08-21;2021-08-17;104
Kaday;2021-08-21;2021-08-17;104
Kaday;2021-08-21;2021-08-17;105
Kaday;2021-08-21;2021-08-17;106
Kaday;2021-08-21;2021-08-17;107
Kaday;2021-08-21;2021-08-17;108
Kaday;2021-08-21;2021-08-17;108
Kaday;2021-08-21;2021-08-17;109
Kaday;2021-08-21;2021-08-17;110
Kaday;2021-08-21;2021-08-17;110
Kaday;2021-08-21;2021-08-17;110
Kaday;2021-08-21;2021-08-17;110
Kaday;2021-08-21;2021-08-17;110
Kaday;2021-08-21;2021-08-17;111
Kaday;2021-08-21;2021-08-17;112
Kaday;2021-08-21;2021-08-17;113
Kaday;2021-08-21;2021-08-17;113
