zone_corecrabe.nom,village.nom,fiche_acheteur.date,fiche_acheteur.collecte_poids1,nombre_sortie_vente
Mahajanga,Marotia,2022-10-14,14,3
Mahajanga,Marotia,2022-10-15,5,2
Mahajanga,Marotia,2022-10-15,6,2
Mahajanga,Marotia,2022-10-15,10,3
Mahajanga,Marotia,2022-10-15,11,3
Mahajanga,Marotia,2022-10-15,15,4
Mahajanga,Sambiravo,2022-09-01,5,1
Mahajanga,Sambiravo,2022-09-01,9,2
Mahajanga,Sambiravo,2022-09-01,24,2
Mahajanga,Sambiravo,2022-09-01,34,4
Mahajanga,Sambiravo,2022-09-01,37,3
Mahajanga,Sambiravo,2022-09-02,10,2
Mahajanga,Sambiravo,2022-09-02,15,2
Mahajanga,Sambiravo,2022-09-02,19,3
Mahajanga,Sambiravo,2022-09-02,29,4
Mahajanga,Sambiravo,2022-09-02,39,4
Mahajanga,Sambiravo,2022-09-03,6,2
Mahajanga,Sambiravo,2022-09-03,9,2
Mahajanga,Sambiravo,2022-09-03,10,2
Mahajanga,Sambiravo,2022-09-03,15,2
Mahajanga,Sambiravo,2022-09-03,35,4
Mahajanga,Sambiravo,2022-09-04,7,2
Mahajanga,Sambiravo,2022-09-04,9,1
Mahajanga,Sambiravo,2022-09-04,15,4
Mahajanga,Sambiravo,2022-09-04,19,3
Mahajanga,Sambiravo,2022-09-04,27,3
Mahajanga,Sambiravo,2022-09-08,5,2
Mahajanga,Sambiravo,2022-09-08,7,2
Mahajanga,Sambiravo,2022-09-08,9,2
Mahajanga,Sambiravo,2022-09-08,12,3
Mahajanga,Sambiravo,2022-09-08,25,4
Mahajanga,Sambiravo,2022-09-09,4,1
Mahajanga,Sambiravo,2022-09-09,10,2
Mahajanga,Sambiravo,2022-09-09,19,3
Mahajanga,Sambiravo,2022-09-09,25,3
Mahajanga,Sambiravo,2022-09-09,25,4
Mahajanga,Sambiravo,2022-09-10,4,1
Mahajanga,Sambiravo,2022-09-10,6,2
Mahajanga,Sambiravo,2022-09-10,8,1
Mahajanga,Sambiravo,2022-09-10,30,4
Mahajanga,Sambiravo,2022-09-10,35,4
Mahajanga,Sambiravo,2022-09-11,9,2
Mahajanga,Sambiravo,2022-09-11,10,2
Mahajanga,Sambiravo,2022-09-11,11,3
Mahajanga,Sambiravo,2022-09-11,19,3
Mahajanga,Sambiravo,2022-09-11,25,4
Mahajanga,Sambiravo,2022-09-12,2,1
Mahajanga,Sambiravo,2022-09-12,6,1
Mahajanga,Sambiravo,2022-09-12,9,1
Mahajanga,Sambiravo,2022-09-12,13,2
Mahajanga,Sambiravo,2022-09-12,20,3
Mahajanga,Sambiravo,2022-09-13,2,1
Mahajanga,Sambiravo,2022-09-13,6,1
Mahajanga,Sambiravo,2022-09-13,9,1
Mahajanga,Sambiravo,2022-09-13,9,1
Mahajanga,Sambiravo,2022-09-13,13,2
Mahajanga,Sambiravo,2022-09-15,5,1
Mahajanga,Sambiravo,2022-09-15,7,1
Mahajanga,Sambiravo,2022-09-15,10,2
Mahajanga,Sambiravo,2022-09-15,17,3
Mahajanga,Sambiravo,2022-09-15,25,4
Mahajanga,Sambiravo,2022-09-16,3,1
